RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
92,Mac Jones   SF,QB,11,,21.8,14.3,,22.2,13.2,6.2,19.0,15.8,24.1,-0.3,,0.2,BYE,,-0.3,,,12.4,136.0
92,Los Angeles Rams   LAR,DST,17,11.0,8.0,6.0,7.0,1.0,17.0,11.0,BYE,9.0,6.0,9.0,18.0,2.0,6.0,0.0,6.0,8.0,11.0,8.0,136.0
92,Minnesota Vikings   MIN,DST,17,5.0,5.0,30.0,4.0,3.0,BYE,3.0,0.0,9.0,1.0,3.0,1.0,9.0,18.0,2.0,11.0,21.0,11.0,8.0,136.0
92,Evan McPherson   CIN,K,17,5.0,7.0,5.0,3.0,8.0,5.0,17.0,8.0,11.0,BYE,8.0,12.0,24.0,4.0,0.0,10.0,9.0,0.0,8.0,136.0
96,Philadelphia Eagles   PHI,DST,17,3.0,5.0,13.0,14.0,2.0,1.0,12.0,6.0,BYE,11.0,8.0,5.0,4.0,13.0,16.0,5.0,13.0,4.0,7.9,135.0
96,Joey Slye   TEN,K,16,15.0,17.0,11.0,0.0,13.0,,10.0,2.0,9.0,BYE,10.0,6.0,3.0,8.0,6.0,6.0,18.0,1.0,8.4,135.0
98,Wil Lutz   DEN,K,17,8.0,4.0,9.0,4.0,9.0,9.0,5.0,9.0,4.0,4.0,18.0,BYE,9.0,6.0,4.0,10.0,8.0,14.0,7.9,134.0
99,Drake London   ATL,WR,12,5.5,2.9,5.5,17.0,BYE,21.8,4.2,,29.8,18.4,11.9,,,,,2.7,0.4,13.8,11.2,133.9
100,Cleveland Browns   CLE,DST,17,4.0,-1.0,13.0,1.0,7.0,0.0,25.0,9.0,BYE,5.0,17.0,16.0,1.0,2.0,2.0,2.0,9.0,21.0,7.8,133.0
101,Emeka Egbuka   TB,WR,17,19.6,8.9,8.5,16.1,24.3,2.4,5.8,3.5,BYE,17.5,4.0,3.2,4.2,1.5,6.4,4.0,2.0,0.8,7.8,132.7
102,Marcus Mariota   WAS,QB,12,0.0,,20.3,17.2,,,4.9,13.3,0.0,18.7,16.4,BYE,24.3,-1.1,14.7,3.7,,,11.0,132.5
103,Cairo Santos   CHI,K,15,7.0,3.0,7.0,19.0,BYE,,,11.0,11.0,6.0,16.0,8.0,6.0,8.0,8.0,14.0,8.0,0.0,8.8,132.0
103,Riley Patterson   MIA,K,17,0.0,11.0,3.0,10.0,7.0,10.0,6.0,10.0,8.0,7.0,11.0,BYE,14.0,13.0,5.0,3.0,8.0,6.0,7.8,132.0
105,Jacory Croskey-Merritt   WAS,RB,17,14.2,1.7,9.1,5.7,25.0,4.8,3.2,2.5,4.1,3.0,3.3,BYE,2.0,3.2,15.6,8.5,22.5,2.9,7.7,131.3
106,Jaylen Waddle   MIA,WR,16,3.0,12.8,9.9,4.8,17.0,9.8,1.5,15.9,8.2,14.4,5.2,BYE,4.0,13.1,2.6,7.2,0.7,,8.1,130.1
107,Pittsburgh Steelers   PIT,DST,17,2.0,5.0,16.0,10.0,BYE,10.0,1.0,-4.0,18.0,5.0,21.0,10.0,5.0,4.0,7.0,5.0,10.0,5.0,7.6,130.0
107,Chad Ryland   ARI,K,17,11.0,10.0,7.0,10.0,3.0,11.0,12.0,BYE,10.0,2.0,4.0,6.0,7.0,5.0,2.0,17.0,2.0,11.0,7.6,130.0
109,Blake Grupe   IND,K,16,7.0,3.0,7.0,9.0,16.0,16.0,2.0,4.0,4.0,5.0,BYE,4.0,,7.0,15.0,11.0,5.0,14.0,8.1,129.0
